timestamp,service,requests,error_rate,latency_ms,cpu_percent,memory_percent
2026-09-04 14:20:00,api,1200,0.5,120,48,62
2026-09-04 14:21:00,api,1180,0.4,115,49,62
2026-09-04 14:22:00,api,1210,0.5,118,48,63
2026-09-04 14:23:00,api,1195,0.4,121,50,63
2026-09-04 14:24:00,api,1220,0.5,119,49,62
2026-09-04 14:25:00,api,1205,0.4,117,50,63
2026-09-04 14:26:00,api,1215,0.5,120,51,63
2026-09-04 14:27:00,api,1230,0.5,122,50,64
2026-09-04 14:28:00,api,1240,0.6,125,52,64
2026-09-04 14:29:00,api,1260,1.2,180,55,65
2026-09-04 14:30:00,api,1300,8.5,620,58,66
2026-09-04 14:31:00,api,1280,12.4,850,61,67
2026-09-04 14:32:00,api,1250,15.8,1100,63,68
2026-09-04 14:33:00,api,1230,14.9,980,62,68
2026-09-04 14:34:00,api,1200,13.7,920,60,67
2026-09-04 14:35:00,api,1190,12.8,880,59,67
